"DateTime","Players","Average Players"
"2022-12-26 00:00:00",15,5
"2022-12-27 00:00:00",15,6
"2022-12-28 00:00:00",473,237
"2022-12-29 00:00:00",406,231
"2022-12-30 00:00:00",464,243
"2022-12-31 00:00:00",453,306
"2023-01-01 00:00:00",510,301
"2023-01-02 00:00:00",434,237
"2023-01-03 00:00:00",462,244
"2023-01-04 00:00:00",439,240
"2023-01-05 00:00:00",463,227
"2023-01-06 00:00:00",463,264
"2023-01-07 00:00:00",505,321
"2023-01-08 00:00:00",568,336
"2023-01-09 00:00:00",484,251
"2023-01-10 00:00:00",468,262
"2023-01-11 00:00:00",478,244
"2023-01-12 00:00:00",438,221
"2023-01-13 00:00:00",448,246
"2023-01-14 00:00:00",462,295
"2023-01-15 00:00:00",538,294
"2023-01-16 00:00:00",445,219
"2023-01-17 00:00:00",425,226
"2023-01-18 00:00:00",432,217
"2023-01-19 00:00:00",379,193
"2023-01-20 00:00:00",398,224
"2023-01-21 00:00:00",402,249
"2023-01-22 00:00:00",435,257
"2023-01-23 00:00:00",441,281
"2023-01-24 00:00:00",402,279
"2023-01-25 00:00:00",384,200
"2023-01-26 00:00:00",373,178
"2023-01-27 00:00:00",368,196
"2023-01-28 00:00:00",404,247
"2023-01-29 00:00:00",453,245
"2023-01-30 00:00:00",375,200
"2023-01-31 00:00:00",382,195
"2023-02-01 00:00:00",377,190
"2023-02-02 00:00:00",345,150
"2023-02-03 00:00:00",373,201
"2023-02-04 00:00:00",405,242
"2023-02-05 00:00:00",442,239
"2023-02-06 00:00:00",375,192
"2023-02-07 00:00:00",396,186
"2023-02-08 00:00:00",363,180
"2023-02-09 00:00:00",351,164
"2023-02-10 00:00:00",358,187
"2023-02-11 00:00:00",381,220
"2023-02-12 00:00:00",437,229
"2023-02-13 00:00:00",379,188
"2023-02-14 00:00:00",360,184
"2023-02-15 00:00:00",347,175
"2023-02-16 00:00:00",333,159
"2023-02-17 00:00:00",338,187
"2023-02-18 00:00:00",362,222
"2023-02-19 00:00:00",399,220
"2023-02-20 00:00:00",358,175
"2023-02-21 00:00:00",336,162
"2023-02-22 00:00:00",305,161
"2023-02-23 00:00:00",268,135
"2023-02-24 00:00:00",327,174
"2023-02-25 00:00:00",335,199
"2023-02-26 00:00:00",407,204
"2023-02-27 00:00:00",316,160
"2023-02-28 00:00:00",312,167
"2023-03-01 00:00:00",309,187
"2023-03-02 00:00:00",302,150
"2023-03-03 00:00:00",300,172
"2023-03-04 00:00:00",354,209
"2023-03-05 00:00:00",397,208
"2023-03-06 00:00:00",315,160
"2023-03-07 00:00:00",306,140
"2023-03-08 00:00:00",281,135
"2023-03-09 00:00:00",361,149
"2023-03-10 00:00:00",331,185
"2023-03-11 00:00:00",342,206
"2023-03-12 00:00:00",393,219
"2023-03-13 00:00:00",354,176
"2023-03-14 00:00:00",328,169
"2023-03-15 00:00:00",321,157
"2023-03-16 00:00:00",340,150
"2023-03-17 00:00:00",324,177
"2023-03-18 00:00:00",341,205
"2023-03-19 00:00:00",371,206
"2023-03-20 00:00:00",336,164
"2023-03-21 00:00:00",316,150
"2023-03-22 00:00:00",314,153
"2023-03-23 00:00:00",338,136
"2023-03-24 00:00:00",313,168
"2023-03-25 00:00:00",339,189
"2023-03-26 00:00:00",340,180
"2023-03-27 00:00:00",322,144
